report_date,Daily - Doses Administered,Daily - First Dose,Daily - Second Dose,Total Doses,Population Vaccinated,Doses for Fully Vaccinated,Fully Vaccinated,Partially Vaccinated,All Vaccinated Percentage,Over 12 Vaccinated Percentage
2020-12-24,,,,10756,,,,,,
2020-12-30,7847,,,18603,,,,,,
2020-12-31,4899,,,23502,,,,,,
2021-01-01,5385,,,28887,,,,,,
2021-01-02,4304,,,33191,,,,,,
2021-01-03,4360,,,37551,,,,,,
2021-01-04,4868,,,42419,,,,,,
2021-01-05,7611,,,50030,,,,,,
2021-01-06,10350,,,60380,59950.0,860.0,430.0,59520.0,0.4069091614494736,0.047604866931016745
2021-01-07,12251,11594.0,657.0,72631,71544.0,2173.0,1087.0,70458.0,0.48560315340685795,0.05681138615033631
2021-01-08,14932,13992.0,940.0,87563,85536.0,4053.0,2027.0,83510.0,0.5805735118222214,0.06792210004689656
2021-01-09,15700,14787.0,913.0,103263,100323.0,5880.0,2940.0,97383.0,0.6809399133293668,0.07966410450576135
2021-01-10,9983,9981.0,2.0,113246,110304.0,5884.0,2942.0,107362.0,0.7486857071646827,0.08758977884835481
2021-01-11,8859,8859.0,0.0,122105,119163.0,5884.0,2942.0,116221.0,0.8088159533912197,0.0946244997181109
2021-01-12,11448,11367.0,81.0,133553,130530.0,6046.0,3023.0,127507.0,0.8859691883903218,0.1036507636447976
2021-01-13,11231,9865.0,1366.0,144784,140395.0,8778.0,4389.0,136006.0,0.9529276350575285,0.11148432515062712
2021-01-14,14237,11979.0,2258.0,159021,152374.0,13293.0,6647.0,145728.0,1.0342348051159647,0.12099656369886147
2021-01-15,15609,13709.0,1900.0,174630,166083.0,17094.0,8547.0,157536.0,1.1272843079401655,0.13188255403676485
2021-01-16,14460,13340.0,1120.0,189090,179423.0,19333.0,9667.0,169757.0,1.217829232272709,0.14247553026461746
2021-01-17,11007,9817.0,1190.0,200097,189240.0,21714.0,10857.0,178383.0,1.2844618801117327,0.15027097611385504
2021-01-18,9691,9672.0,19.0,209788,198912.0,21752.0,10876.0,188036.0,1.3501103439906201,0.15795128091713764
2021-01-19,14346,12417.0,1929.0,224134,211329.0,25609.0,12805.0,198525.0,1.4343904283562268,0.16781132483177377
2021-01-20,13784,10408.0,3376.0,237918,221737.0,32361.0,16181.0,205557.0,1.5050344742672548,0.1760760697028
2021-01-21,15899,11967.0,3932.0,253817,233704.0,40225.0,20113.0,213592.0,1.586260194618645,0.18557877933688638
2021-01-22,11168,6635.0,4533.0,264985,240339.0,49292.0,24646.0,215693.0,1.6312950951393665,0.19084747478454767
2021-01-23,11161,6853.0,4308.0,276146,247192.0,57907.0,28954.0,218239.0,1.6778096653380863,0.1962892788392309
2021-01-24,4427,1940.0,2487.0,280573,249132.0,62881.0,31441.0,217692.0,1.6909773679771516,0.19782978662648978
2021-01-25,5537,1350.0,4187.0,286110,250482.0,71256.0,35628.0,214854.0,1.7001404600198005,0.19890178946813908
2021-01-26,9707,3692.0,6015.0,295817,254174.0,83285.0,41643.0,212532.0,1.725199819887548,0.201833518721005
2021-01-27,9513,2926.0,6587.0,305330,257100.0,96459.0,48230.0,208871.0,1.7450599734555403,0.20415698562075735
2021-01-28,11910,4854.0,7056.0,317240,261954.0,110571.0,55286.0,206669.0,1.7780063799555528,0.2080114313936207
2021-01-29,10215,3822.0,6393.0,327455,265776.0,123357.0,61679.0,204098.0,1.8039481116496294,0.21104639054975657
2021-01-30,9373,3265.0,6108.0,336828,269041.0,135574.0,67787.0,201254.0,1.8261092194416648,0.21363904927418972
2021-01-31,2816,1754.0,1062.0,339644,270795.0,137698.0,68849.0,201946.0,1.838014451621521,0.2150318588921548
2021-02-01,2256,812.0,1444.0,341900,271607.0,140585.0,70293.0,201315.0,1.8435258817982847,0.21567664874950232
2021-02-02,2715,951.0,1764.0,344615,272558.0,144113.0,72057.0,200502.0,1.8499807710816618,0.2164318151957308
2021-02-03,3716,779.0,2937.0,348331,273337.0,149987.0,74994.0,198344.0,1.8552682145640493,0.21705040053917138
2021-02-04,6724,741.0,5983.0,355055,274078.0,161954.0,80977.0,193101.0,1.8602977339741251,0.21763881098780996
2021-02-05,7694,840.0,6854.0,362749,274918.0,175662.0,87831.0,187087.0,1.865999213467329,0.21830583497816947
2021-02-06,9917,1175.0,8742.0,372666,276093.0,193146.0,96573.0,179520.0,1.873974497282227,0.21923887448849383
2021-02-07,6518,1347.0,5171.0,379184,277440.0,203487.0,101744.0,175697.0,1.8831172268981142,0.2203084951016061
2021-02-08,6987,2568.0,4419.0,386171,280008.0,212326.0,106163.0,173845.0,1.9005474642059081,0.22234768272927666
2021-02-09,12462,3096.0,9366.0,398633,283104.0,231058.0,115529.0,167575.0,1.9215614886237158,0.22480614257945897
2021-02-10,13486,3290.0,10196.0,412119,286394.0,251449.0,125725.0,160670.0,1.94389228330543,0.22741865320836716
2021-02-11,14717,3454.0,11263.0,426836,289848.0,273975.0,136988.0,152861.0,1.9673362239834364,0.2301613923306312
2021-02-12,15605,1311.0,14294.0,442441,291159.0,302563.0,151282.0,139878.0,1.9762346044781862,0.2312024262012995
2021-02-13,14506,1481.0,13025.0,456947,292640.0,328614.0,164307.0,128333.0,1.986286855822751,0.23237845302239765
2021-02-14,10679,343.0,10336.0,467626,292983.0,349286.0,174643.0,118340.0,1.9886149599491427,0.23265082115179447
2021-02-15,7698,204.0,7494.0,475324,293187.0,364274.0,182137.0,111050.0,1.9899996049689208,0.23281281269231036
2021-02-16,5053,256.0,4797.0,480377,293443.0,373867.0,186934.0,106510.0,1.9917371987192307,0.23301609619413421
2021-02-17,9107,675.0,8432.0,489484,294118.0,390731.0,195366.0,98753.0,1.9963187447405546,0.23355209761495885
