Country,Population,Density ,Land Area,Fertility rate,Median age,Urban Population %
China,1439323776,153,9388211,1.7,38,0.61
India,1380004385,464,2973190,2.2,28,0.35
US,331002651,36,9147420,1.8,38,0.83
Indonesia,273523615,151,1811570,2.3,30,0.56
Pakistan,220892340,287,770880,3.6,23,0.35
Brazil,212559417,25,8358140,1.7,33,0.88
Nigeria,206139589,226,910770,5.4,18,0.52
Bangladesh,164689383,1265,130170,2.1,28,0.39
Russia,145934462,9,16376870,1.8,40,0.74
Mexico,128932753,66,1943950,2.1,29,0.84
Japan,126476461,347,364555,1.4,48,0.92
Ethiopia,114963588,115,1000000,4.3,19,0.21
Philippines,109581078,368,298170,2.6,26,0.47
Egypt,102334404,103,995450,3.3,25,0.43
Vietnam,97338579,314,310070,2.1,32,0.38
DR Congo,89561403,40,2267050,6,17,0.46
Turkey,84339067,110,769630,2.1,32,0.76
Iran,83992949,52,1628550,2.2,32,0.76
Germany,83783942,240,348560,1.6,46,0.76
Thailand,69799978,137,510890,1.5,40,0.51
United Kingdom,67886011,281,241930,1.8,40,0.83
France,65273511,119,547557,1.9,42,0.82
Italy,60461826,206,294140,1.3,47,0.69
Tanzania,59734218,67,885800,4.9,18,0.37
South Africa,59308690,49,1213090,2.4,28,0.67
Myanmar,54409800,83,653290,2.2,29,0.31
Kenya,53771296,94,569140,3.5,20,0.28
"Korea, South",51269185,527,97230,1.1,44,0.82
Colombia,50882891,46,1109500,1.8,31,0.8
Spain,46754778,94,498800,1.3,45,0.8
Uganda,45741007,229,199810,5,17,0.26
Argentina,45195774,17,2736690,2.3,32,0.93
Algeria,43851044,18,2381740,3.1,29,0.73
Sudan,43849260,25,1765048,4.4,20,0.35
Ukraine,43733762,75,579320,1.4,41,0.69
Iraq,40222493,93,434320,3.7,21,0.73
Afghanistan,38928346,60,652860,4.6,18,0.25
Poland,37846611,124,306230,1.4,42,0.6
Canada,37742154,4,9093510,1.5,41,0.81
Morocco,36910560,83,446300,2.4,30,0.64
Saudi Arabia,34813871,16,2149690,2.3,32,0.84
Uzbekistan,33469203,79,425400,2.4,28,0.5
Peru,32971854,26,1280000,2.3,31,0.79
Angola,32866272,26,1246700,5.6,17,0.67
Malaysia,32365999,99,328550,2,30,0.78
Mozambique,31255435,40,786380,4.9,18,0.38
Ghana,31072940,137,227540,3.9,22,0.57
Yemen,29825964,56,527970,3.8,20,0.38
Nepal,29136808,203,143350,1.9,25,0.21
Venezuela,28435940,32,882050,2.3,30,NaN
Madagascar,27691018,48,581795,4.1,20,0.39
Cameroon,26545863,56,472710,4.6,19,0.56
Côte d'Ivoire,26378274,83,318000,4.7,19,0.51
North Korea,25778816,214,120410,1.9,35,0.63
Australia,25499884,3,7682300,1.8,38,0.86
Niger,24206644,19,1266700,7,15,0.17
Taiwan*,23816775,673,35410,1.2,42,0.79
Sri Lanka,21413249,341,62710,2.2,34,0.18
Burkina Faso,20903273,76,273600,5.2,18,0.31
Mali,20250833,17,1220190,5.9,16,0.44
Romania,19237691,84,230170,1.6,43,0.55
Malawi,19129952,203,94280,4.3,18,0.18
Chile,19116201,26,743532,1.7,35,0.85
Kazakhstan,18776707,7,2699700,2.8,31,0.58
Zambia,18383955,25,743390,4.7,18,0.45
Guatemala,17915568,167,107160,2.9,23,0.52
Ecuador,17643054,71,248360,2.4,28,0.63
Syria,17500658,95,183630,2.8,26,0.6
Netherlands,17134872,508,33720,1.7,43,0.92
Senegal,16743927,87,192530,4.7,19,0.49
Cambodia,16718965,95,176520,2.5,26,0.24
Chad,16425864,13,1259200,5.8,17,0.23
Somalia,15893222,25,627340,6.1,17,0.47
Zimbabwe,14862924,38,386850,3.6,19,0.38
Guinea,13132795,53,245720,4.7,18,0.39
Rwanda,12952218,525,24670,4.1,20,0.18
Benin,12123200,108,112760,4.9,19,0.48
Burundi,11890784,463,25680,5.5,17,0.14
Tunisia,11818619,76,155360,2.2,33,0.7
Bolivia,11673021,11,1083300,2.8,26,0.69
Belgium,11589623,383,30280,1.7,42,0.98
Haiti,11402528,414,27560,3,24,0.57
Cuba,11326616,106,106440,1.6,42,0.78
South Sudan,11193725,18,610952,4.7,19,0.25
Dominican Republic,10847910,225,48320,2.4,28,0.85
Czechia,10708981,139,77240,1.6,43,0.74
Greece,10423054,81,128900,1.3,46,0.85
Jordan,10203134,115,88780,2.8,24,0.91
Portugal,10196709,111,91590,1.3,46,0.66
Azerbaijan,10139177,123,82658,2.1,32,0.56
