dates,Alberta,British Columbia,Diamond Princess,Grand Princess,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Ontario,Prince Edward Island,Quebec,Recovered,Saskatchewan,Yukon
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-28,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-29,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-30,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-01-31,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-01,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-02,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-03,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-04,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-05,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-06,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-07,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-08,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-09,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-10,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-11,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-12,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-13,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-14,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-15,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-16,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-17,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-18,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-19,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-20,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-21,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-22,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-23,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-02-24,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-02-25,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-02-26,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-02-27,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0
2020-02-28,0,7,0,0,0,0,0,0,0,6,0,1,0,0,0
2020-02-29,0,8,0,0,0,0,0,0,0,11,0,1,0,0,0
2020-03-01,0,8,0,0,0,0,0,0,0,15,0,1,0,0,0
2020-03-02,0,8,0,0,0,0,0,0,0,18,0,1,0,0,0
2020-03-03,0,9,0,0,0,0,0,0,0,20,0,1,0,0,0
2020-03-04,0,12,0,0,0,0,0,0,0,20,0,1,0,0,0
2020-03-05,0,13,0,0,0,0,0,0,0,22,0,2,0,0,0
2020-03-06,1,21,0,0,0,0,0,0,0,25,0,2,0,0,0
2020-03-07,2,21,0,0,0,0,0,0,0,28,0,3,0,0,0
2020-03-08,4,27,0,0,0,0,0,0,0,29,0,4,0,0,0
2020-03-09,7,32,0,0,0,0,0,0,0,34,0,4,0,0,0
2020-03-10,7,32,0,0,0,0,0,0,0,36,0,4,0,0,0
2020-03-11,19,39,0,0,0,1,0,0,0,41,0,8,0,0,0
2020-03-12,19,46,0,0,0,1,0,0,0,42,0,9,0,0,0
2020-03-13,29,64,0,2,4,1,0,0,0,74,0,17,0,2,0
2020-03-14,29,64,0,2,4,1,0,0,0,79,0,17,0,2,0
2020-03-15,39,73,0,2,4,2,1,0,0,104,1,24,0,2,0
2020-03-16,56,103,0,2,7,6,1,0,5,177,1,50,0,7,0
2020-03-17,74,103,0,8,8,8,3,0,7,185,1,74,0,7,0
2020-03-18,97,186,0,9,15,11,3,0,12,221,1,94,0,8,0
2020-03-19,119,231,0,9,17,11,3,0,14,257,2,121,0,16,0
2020-03-20,146,271,0,10,17,11,4,0,15,308,2,139,0,20,0
2020-03-21,195,424,0,10,18,17,6,0,21,377,2,181,0,26,0
2020-03-22,259,424,0,13,20,17,9,0,28,425,3,219,0,52,0
2020-03-23,301,472,0,13,20,17,24,0,41,503,3,628,0,66,0
2020-03-24,359,617,0,13,21,18,35,0,51,588,3,1013,0,72,0
2020-03-25,358,617,0,13,35,18,35,0,68,688,5,1342,0,72,0
2020-03-26,486,725,0,13,36,33,82,1,73,858,5,1632,0,95,3
2020-03-27,542,725,0,13,39,45,102,1,90,994,9,2024,0,95,3
2020-03-28,542,884,0,13,64,51,120,1,110,1144,11,2498,0,134,4
2020-03-29,621,884,0,13,72,66,135,1,122,1355,11,2840,0,156,4
