,country,max
0,Afghanistan,84
1,Albania,146
2,Algeria,302
3,Andorra,188
4,Angola,3
5,Antigua and Barbuda,3
6,Argentina,387
7,Armenia,265
8,Australia,2364
9,Austria,5588
10,Azerbaijan,93
11,Bahamas,5
12,Bahrain,419
13,Bangladesh,39
14,Barbados,18
15,Belarus,86
16,Belgium,4937
17,Belize,2
18,Benin,6
19,Bhutan,2
20,Bolivia,32
21,Bosnia and Herzegovina,176
22,Brazil,2554
23,Brunei,109
24,Bulgaria,242
25,Burkina Faso,146
26,Cabo Verde,4
27,Cambodia,96
28,Cameroon,75
29,Canada,3251
30,Central African Republic,3
31,Chad,3
32,Chile,1142
33,China,81661
34,Colombia,470
35,Congo (Brazzaville),4
36,Congo (Kinshasa),48
37,Costa Rica,201
38,Cote d'Ivoire,80
39,Croatia,442
40,Cuba,57
41,Cyprus,132
42,Czechia,1654
43,Denmark,1862
44,Diamond Princess,712
45,Djibouti,11
46,Dominica,7
47,Dominican Republic,392
48,Ecuador,1173
49,Egypt,456
50,El Salvador,9
51,Equatorial Guinea,9
52,Eritrea,4
53,Estonia,404
54,Eswatini,4
55,Ethiopia,12
56,Fiji,5
57,Finland,880
58,France,25600
59,Gabon,6
60,Gambia,3
61,Georgia,75
62,Germany,37323
63,Ghana,93
64,Greece,821
65,Grenada,1
66,Guatemala,24
67,Guinea,4
68,Guinea-Bissau,2
69,Guyana,20
70,Haiti,8
71,Holy See,4
72,Honduras,36
73,Hungary,226
74,Iceland,737
75,India,657
76,Indonesia,790
77,Iran,27017
78,Iraq,346
79,Ireland,1564
80,Israel,2369
81,Italy,74386
82,Jamaica,26
83,Japan,1307
84,Jordan,172
85,Kazakhstan,81
86,Kenya,28
87,"Korea, South",9137
88,Kuwait,195
89,Kyrgyzstan,44
90,Laos,3
91,Latvia,221
92,Lebanon,333
93,Liberia,3
94,Libya,1
95,Liechtenstein,51
96,Lithuania,274
97,Luxembourg,1333
98,Madagascar,19
99,Malaysia,1796
100,Maldives,13
101,Mali,2
102,Malta,129
103,Mauritania,2
104,Mauritius,48
105,Mexico,405
106,Moldova,149
107,Monaco,31
108,Mongolia,10
109,Montenegro,52
110,Morocco,225
111,Mozambique,5
112,Namibia,7
113,Nepal,3
114,Netherlands,6438
115,New Zealand,205
116,Nicaragua,2
117,Niger,7
118,Nigeria,51
119,North Macedonia,177
120,Norway,3084
121,Oman,99
122,Pakistan,1063
123,Panama,443
124,Papua New Guinea,1
125,Paraguay,37
126,Peru,480
127,Philippines,636
128,Poland,1051
129,Portugal,2995
130,Qatar,537
131,Romania,906
132,Russia,658
133,Rwanda,41
134,Saint Kitts and Nevis,2
135,Saint Lucia,3
136,Saint Vincent and the Grenadines,1
137,San Marino,208
138,Saudi Arabia,900
139,Senegal,99
140,Serbia,384
141,Seychelles,7
142,Singapore,631
143,Slovakia,216
144,Slovenia,528
145,Somalia,1
146,South Africa,709
147,Spain,49515
148,Sri Lanka,102
149,Sudan,3
150,Suriname,8
151,Sweden,2526
152,Switzerland,10897
153,Syria,5
154,Taiwan*,235
155,Tanzania,12
156,Thailand,934
157,Timor-Leste,1
158,Togo,23
159,Trinidad and Tobago,60
160,Tunisia,173
161,Turkey,2433
162,US,65778
163,Uganda,14
164,Ukraine,145
165,United Arab Emirates,333
166,United Kingdom,9640
167,Uruguay,189
168,Uzbekistan,60
169,Venezuela,91
170,Vietnam,141
171,West Bank and Gaza,59
172,Zambia,12
173,Zimbabwe,3
